event_id,bright_ti4,bright_ti5,frp,confidence,scan,track,daynight,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,NDVI,NDBI,NDWI
FIRMS_0001,343.98,302.65,5.18,n,0.34,0.56,1,5783.87,0,0,0,0.2971230158730158,0.0405430196294257,-0.3763157894736842
FIRMS_0002,344.78,302.11,4.83,n,0.34,0.56,1,5537.88,0,0,0,0.6282404853833425,-0.1596935769004125,-0.5718849840255591
FIRMS_0003,339.01,307.47,2.23,n,0.38,0.36,1,3044.03,0,0,0,0.3535741737125288,0.0675138999205718,-0.4583850931677019
FIRMS_0004,345.69,315.97,10.64,n,0.54,0.42,1,2390.24,0,0,0,0.3190229459659511,0.1849988566201692,-0.4452554744525547
FIRMS_0005,309.14,298.47,1.77,n,0.57,0.43,0,1091.39,0,0,5,0.1682191780821917,0.149920255183413,-0.2984165651644336
FIRMS_0006,305.71,294.78,0.97,n,0.42,0.45,0,175.79,1,3,8,0.1905041031652989,0.0832769126607989,-0.312015503875969
FIRMS_0007,315.38,296.19,1.66,n,0.42,0.45,0,546.81,0,5,14,0.1087363077745124,0.0806380150642445,-0.1644219977553311
FIRMS_0008,340.32,311.07,5.14,l,0.4,0.37,1,4200.8,0,0,0,0.4409409409409409,-0.0611868779948396,-0.5041797283176593
FIRMS_0009,333.45,307.22,2.35,n,0.46,0.39,1,4575.02,0,0,0,0.6911018902720147,-0.3640758646336928,-0.5695335900727428
FIRMS_0010,336.6,308.55,3.78,n,0.46,0.39,1,4860.42,0,0,0,0.5455278001611603,-0.1161978661493695,-0.5725608089641979
FIRMS_0011,318.79,294.29,1.74,n,0.46,0.39,0,6588.19,0,0,0,0.2711819389110226,0.0560157790927021,-0.3990061385559778
FIRMS_0012,318.57,297.05,3.52,n,0.6,0.53,0,497.34,1,3,8,0.1246183735775742,0.1474857984430885,-0.2778303374329864
FIRMS_0013,315.64,296.68,3.2,n,0.6,0.53,0,239.19,2,3,8,0.2348268191928821,0.0622586872586872,-0.3340199107449365
FIRMS_0014,308.1,294.6,1.63,n,0.52,0.67,0,645.02,0,2,7,0.6661631419939577,-0.2627361190612478,-0.5723449750534568
FIRMS_0015,310.2,296.17,1.81,n,0.52,0.67,0,325.27,1,3,7,0.0853146853146853,0.1300448430493273,-0.2024793388429752
FIRMS_0016,338.35,311.2,1.65,l,0.46,0.39,1,3560.47,0,0,0,0.4281230382925298,0.1032715806070161,-0.4898493778650949
FIRMS_0017,308.5,294.28,1.08,n,0.41,0.37,0,272.44,1,1,4,0.1613907628437986,-0.0116016272412234,-0.3263532200711181
FIRMS_0018,335.77,309.3,3.86,n,0.45,0.47,1,8189.75,0,0,0,0.2246626091558613,0.1453370267774699,-0.3548009367681499
FIRMS_0019,342.04,308.31,4.72,n,0.45,0.47,1,8571.02,0,0,0,0.1789614441720526,0.1006460387623257,-0.2921348314606741
FIRMS_0020,331.57,305.95,4.7,l,0.45,0.63,1,5256.66,0,0,0,0.375077495350279,0.0271929824561403,-0.4374594944912508
FIRMS_0021,305.8,290.98,0.79,n,0.65,0.73,0,488.45,1,2,7,0.1570680628272251,0.195144157814871,-0.2509433962264151
FIRMS_0022,307.3,291.41,1.23,n,0.65,0.73,0,496.47,1,3,9,0.1370192307692307,0.137648131267092,-0.2814087368777514
FIRMS_0023,367.0,312.65,5.1,h,0.35,0.57,1,4065.17,0,0,0,0.2024091987588976,0.0916861988142837,-0.3314470493128537
FIRMS_0024,334.64,304.62,2.35,n,0.34,0.56,1,3909.09,0,0,0,0.3772545090180361,0.1165032942310782,-0.4712336098474712
FIRMS_0025,340.61,309.36,2.48,n,0.35,0.57,1,7487.08,0,0,0,0.3308270676691729,0.0437970287478294,-0.4172147555047183
FIRMS_0026,336.83,309.87,2.16,n,0.52,0.42,1,1606.98,0,0,5,0.1807585568917668,0.1050343570326742,-0.350973751058425
FIRMS_0027,339.93,311.32,6.52,n,0.53,0.42,1,4306.93,0,0,0,0.2065160273252758,0.2873991309745499,-0.3442622950819672
FIRMS_0028,339.78,311.35,6.91,l,0.53,0.42,1,4559.45,0,0,0,0.2260273972602739,0.2166301969365426,-0.3447412353923205
FIRMS_0029,335.73,309.61,3.01,l,0.54,0.42,1,769.11,0,2,13,0.0759617262253466,0.0842612597640019,-0.1328125
FIRMS_0030,302.61,289.82,0.28,n,0.39,0.36,0,2918.5,0,0,0,0.4439834024896265,0.0897061086320972,-0.5322455322455323
