event_id,latitude,longitude,acq_date,acq_time,satellite,instrument,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_km
FIRMS_0001,22.91167,72.26035,2026-03-01,859,N20,VIIRS,,,industrial,,,5.784
FIRMS_0002,22.91384,72.25944,2026-03-01,859,N20,VIIRS,,,industrial,,,5.538
FIRMS_0003,22.85421,72.43613,2026-03-03,821,N20,VIIRS,,,industrial,,,3.044
FIRMS_0004,23.12461,72.55163,2026-03-04,802,N20,VIIRS,,,industrial,,,2.39
FIRMS_0005,22.95972,72.54742,2026-03-04,2030,N20,VIIRS,Piplaj,,industrial,,,1.091
FIRMS_0006,22.97956,72.56829,2026-03-07,2114,N20,VIIRS,,,industrial,,,0.176
FIRMS_0007,23.02011,72.61412,2026-03-07,2114,N20,VIIRS,,,industrial,,,0.547
FIRMS_0008,22.86525,72.4506,2026-03-08,827,N20,VIIRS,,,industrial,,,4.201
FIRMS_0009,22.91476,72.33144,2026-03-09,808,N20,VIIRS,,,industrial,,,4.575
FIRMS_0010,22.91593,72.32841,2026-03-09,809,N20,VIIRS,,,industrial,,,4.86
FIRMS_0011,22.92537,72.74552,2026-03-09,2037,N20,VIIRS,,,industrial,,,6.588
FIRMS_0012,22.983,72.56574,2026-03-10,2018,N20,VIIRS,,,industrial,,,0.497
FIRMS_0013,22.98615,72.56622,2026-03-10,2018,N20,VIIRS,,,industrial,,,0.239
FIRMS_0014,22.97836,72.562,2026-03-11,2139,N20,VIIRS,,,industrial,,,0.645
FIRMS_0015,22.97905,72.56561,2026-03-11,2139,N20,VIIRS,,,industrial,,,0.325
FIRMS_0016,22.95616,72.74741,2026-03-13,834,N20,VIIRS,,,industrial,,,3.56
FIRMS_0017,22.96043,72.59915,2026-03-14,2043,N20,VIIRS,Reliance resin industries,,,works,,0.272
FIRMS_0018,22.77944,72.45569,2026-03-15,756,N20,VIIRS,,,industrial,,,8.19
FIRMS_0019,22.7803,72.46003,2026-03-15,756,N20,VIIRS,,,industrial,,,8.571
FIRMS_0020,22.7951,72.43128,2026-03-16,737,N20,VIIRS,,,industrial,,,5.257
FIRMS_0021,22.97734,72.56386,2026-03-16,2146,N20,VIIRS,,,industrial,,,0.488
FIRMS_0022,22.98167,72.5658,2026-03-16,2146,N20,VIIRS,,,industrial,,,0.496
FIRMS_0023,22.78164,72.53414,2026-03-17,859,N20,VIIRS,,,industrial,,,4.065
FIRMS_0024,22.95061,72.41132,2026-03-17,859,N20,VIIRS,,,industrial,,,3.909
FIRMS_0025,23.24492,72.43323,2026-03-17,859,N20,VIIRS,,,,,generator,7.487
FIRMS_0026,22.83764,72.38744,2026-03-18,840,N20,VIIRS,,,industrial,,,1.607
FIRMS_0027,22.95463,72.41178,2026-03-18,840,N20,VIIRS,,,industrial,,,4.307
FIRMS_0028,22.95612,72.40912,2026-03-18,840,N20,VIIRS,,,industrial,,,4.559
FIRMS_0029,23.02453,72.59813,2026-03-18,840,N20,VIIRS,,,industrial,,,0.769
FIRMS_0030,22.80784,72.5648,2026-03-19,2049,N20,VIIRS,,,industrial,,,2.919
FIRMS_0031,22.97388,72.81726,2026-03-20,2030,N20,VIIRS,,,industrial,,,1.365
FIRMS_0032,22.75499,72.32404,2026-03-21,744,N20,VIIRS,,,industrial,,,1.068
FIRMS_0033,22.97641,72.43799,2026-03-21,744,N20,VIIRS,,,industrial,,,3.921
FIRMS_0034,22.97737,72.4377,2026-03-21,744,N20,VIIRS,,,industrial,,,4.012
FIRMS_0035,22.79262,72.49578,2026-03-22,905,N20,VIIRS,,,industrial,,,8.169
