event_id,latitude,longitude,acq_datetime,FRP,bright_ti4,bright_ti5,delta_t,distance_to_industry,NDVI,NDBI,NDWI,daynight,industries_within_500m,industries_within_1km,industries_within_2km,cluster_id,cluster_event_count,cluster_unique_dates,cluster_span_days,final_label
FIRMS_0001,22.91167,72.26035,2026-03-01 08:59,5.18,343.98,302.65,41.33,5783.87,0.2971230158730158,0.0405430196294257,-0.3763157894736842,1,0,0,0,0,2,1,0,Other Thermal Source
FIRMS_0002,22.91384,72.25944,2026-03-01 08:59,4.83,344.78,302.11,42.67,5537.88,0.6282404853833425,-0.1596935769004125,-0.5718849840255591,1,0,0,0,0,2,1,0,Other Thermal Source
FIRMS_0005,22.95972,72.54742,2026-03-04 20:30,1.77,309.14,298.47,10.67,1091.39,0.1682191780821917,0.149920255183413,-0.2984165651644336,0,0,0,5,3,4,3,54,Persistent Industrial Heat
FIRMS_0006,22.97956,72.56829,2026-03-07 21:14,0.97,305.71,294.78,10.93,175.79,0.1905041031652989,0.0832769126607989,-0.312015503875969,0,1,3,8,4,25,21,81,Persistent Industrial Heat
FIRMS_0009,22.91476,72.33144,2026-03-09 08:08,2.35,333.45,307.22,26.23,4575.02,0.6911018902720147,-0.3640758646336928,-0.5695335900727428,1,0,0,0,7,2,1,0,Other Thermal Source
FIRMS_0010,22.91593,72.32841,2026-03-09 08:09,3.78,336.6,308.55,28.05,4860.42,0.5455278001611603,-0.1161978661493695,-0.5725608089641979,1,0,0,0,7,2,1,0,Other Thermal Source
FIRMS_0012,22.983,72.56574,2026-03-10 20:18,3.52,318.57,297.05,21.52,497.34,0.1246183735775742,0.1474857984430885,-0.2778303374329864,0,1,3,8,4,25,21,81,Persistent Industrial Heat
FIRMS_0013,22.98615,72.56622,2026-03-10 20:18,3.2,315.64,296.68,18.96,239.19,0.2348268191928821,0.0622586872586872,-0.3340199107449365,0,2,3,8,4,25,21,81,Persistent Industrial Heat
FIRMS_0014,22.97836,72.562,2026-03-11 21:39,1.63,308.1,294.6,13.5,645.02,0.6661631419939577,-0.2627361190612478,-0.5723449750534568,0,0,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0015,22.97905,72.56561,2026-03-11 21:39,1.81,310.2,296.17,14.03,325.27,0.0853146853146853,0.1300448430493273,-0.2024793388429752,0,1,3,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0021,22.97734,72.56386,2026-03-16 21:46,0.79,305.8,290.98,14.82,488.45,0.1570680628272251,0.195144157814871,-0.2509433962264151,0,1,2,7,4,25,21,81,Persistent Industrial Heat
FIRMS_0022,22.98167,72.5658,2026-03-16 21:46,1.23,307.3,291.41,15.89,496.47,0.1370192307692307,0.137648131267092,-0.2814087368777514,0,1,3,9,4,25,21,81,Persistent Industrial Heat
FIRMS_0024,22.95061,72.41132,2026-03-17 08:59,2.35,334.64,304.62,30.02,3909.09,0.3772545090180361,0.1165032942310782,-0.4712336098474712,1,0,0,0,14,3,2,1,Other Thermal Source
