latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km,NDVI,NDBI,NDWI
22.91167,72.26035,343.98,0.34,0.56,2026-03-01,859,N20,VIIRS,n,2,302.65,5.18,D,0,411,1319229897,,,industrial,,,5783.87,0,0,0,5.784,0.29712301587301587,0.040543019629425796,-0.3763157894736842
22.91384,72.25944,344.78,0.34,0.56,2026-03-01,859,N20,VIIRS,n,2,302.11,4.83,D,0,411,1319229897,,,industrial,,,5537.88,0,0,0,5.538,0.6282404853833425,-0.1596935769004125,-0.5718849840255591
22.85421,72.43613,339.01,0.38,0.36,2026-03-03,821,N20,VIIRS,n,2,307.47,2.23,D,0,244,871663117,,,industrial,,,3044.03,0,0,0,3.044,0.3535741737125288,0.06751389992057188,-0.4583850931677019
23.12461,72.55163,345.69,0.54,0.42,2026-03-04,802,N20,VIIRS,n,2,315.97,10.64,D,0,111,487641391,,,industrial,,,2390.24,0,0,0,2.39,0.31902294596595115,0.1849988566201692,-0.44525547445255476
22.95972,72.54742,309.14,0.57,0.43,2026-03-04,2030,N20,VIIRS,n,2,298.47,1.77,N,0,76,321136520,Piplaj,,industrial,,,1091.39,0,0,5,1.091,0.16821917808219178,0.14992025518341306,-0.2984165651644336
22.97956,72.56829,305.71,0.42,0.45,2026-03-07,2114,N20,VIIRS,n,2,294.78,0.97,N,2,226,730859587,,,industrial,,,175.79,1,3,8,0.176,0.19050410316529895,0.08327691266079891,-0.312015503875969
23.02011,72.61412,315.38,0.42,0.45,2026-03-07,2114,N20,VIIRS,n,2,296.19,1.66,N,0,403,1307501936,,,industrial,,,546.81,0,5,14,0.547,0.10873630777451242,0.08063801506424458,-0.1644219977553311
22.86525,72.4506,340.32,0.4,0.37,2026-03-08,827,N20,VIIRS,l,2,311.07,5.14,D,0,244,871663117,,,industrial,,,4200.8,0,0,0,4.201,0.44094094094094094,-0.06118687799483966,-0.5041797283176593
22.91476,72.33144,333.45,0.46,0.39,2026-03-09,808,N20,VIIRS,n,2,307.22,2.35,D,0,242,871663114,,,industrial,,,4575.02,0,0,0,4.575,0.6911018902720147,-0.36407586463369285,-0.5695335900727428
22.91593,72.32841,336.6,0.46,0.39,2026-03-09,809,N20,VIIRS,n,2,308.55,3.78,D,0,242,871663114,,,industrial,,,4860.42,0,0,0,4.86,0.5455278001611603,-0.11619786614936954,-0.5725608089641979
22.92537,72.74552,318.79,0.46,0.39,2026-03-09,2037,N20,VIIRS,n,2,294.29,1.74,N,0,215,668426252,,,industrial,,,6588.19,0,0,0,6.588,0.2711819389110226,0.05601577909270217,-0.3990061385559778
22.983,72.56574,318.57,0.6,0.53,2026-03-10,2018,N20,VIIRS,n,2,297.05,3.52,N,0,79,321136523,,,industrial,,,497.34,1,3,8,0.497,0.12461837357757424,0.14748579844308857,-0.27783033743298646
22.98615,72.56622,315.64,0.6,0.53,2026-03-10,2018,N20,VIIRS,n,2,296.68,3.2,N,0,72,321136515,,,industrial,,,239.19,2,3,8,0.239,0.23482681919288212,0.06225868725868726,-0.3340199107449365
