latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
22.91167,72.26035,343.98,0.34,0.56,2026-03-01,859,N20,VIIRS,n,2,302.65,5.18,D,0,411,1319229897,,,industrial,,,5783.87,0,0,0,5.784
22.91384,72.25944,344.78,0.34,0.56,2026-03-01,859,N20,VIIRS,n,2,302.11,4.83,D,0,411,1319229897,,,industrial,,,5537.88,0,0,0,5.538
22.85421,72.43613,339.01,0.38,0.36,2026-03-03,821,N20,VIIRS,n,2,307.47,2.23,D,0,244,871663117,,,industrial,,,3044.03,0,0,0,3.044
23.12461,72.55163,345.69,0.54,0.42,2026-03-04,802,N20,VIIRS,n,2,315.97,10.64,D,0,111,487641391,,,industrial,,,2390.24,0,0,0,2.39
22.95972,72.54742,309.14,0.57,0.43,2026-03-04,2030,N20,VIIRS,n,2,298.47,1.77,N,0,76,321136520,Piplaj,,industrial,,,1091.39,0,0,5,1.091
22.97956,72.56829,305.71,0.42,0.45,2026-03-07,2114,N20,VIIRS,n,2,294.78,0.97,N,2,226,730859587,,,industrial,,,175.79,1,3,8,0.176
23.02011,72.61412,315.38,0.42,0.45,2026-03-07,2114,N20,VIIRS,n,2,296.19,1.66,N,0,403,1307501936,,,industrial,,,546.81,0,5,14,0.547
22.86525,72.4506,340.32,0.4,0.37,2026-03-08,827,N20,VIIRS,l,2,311.07,5.14,D,0,244,871663117,,,industrial,,,4200.8,0,0,0,4.201
22.91476,72.33144,333.45,0.46,0.39,2026-03-09,808,N20,VIIRS,n,2,307.22,2.35,D,0,242,871663114,,,industrial,,,4575.02,0,0,0,4.575
22.91593,72.32841,336.6,0.46,0.39,2026-03-09,809,N20,VIIRS,n,2,308.55,3.78,D,0,242,871663114,,,industrial,,,4860.42,0,0,0,4.86
22.92537,72.74552,318.79,0.46,0.39,2026-03-09,2037,N20,VIIRS,n,2,294.29,1.74,N,0,215,668426252,,,industrial,,,6588.19,0,0,0,6.588
22.983,72.56574,318.57,0.6,0.53,2026-03-10,2018,N20,VIIRS,n,2,297.05,3.52,N,0,79,321136523,,,industrial,,,497.34,1,3,8,0.497
22.98615,72.56622,315.64,0.6,0.53,2026-03-10,2018,N20,VIIRS,n,2,296.68,3.2,N,0,72,321136515,,,industrial,,,239.19,2,3,8,0.239
22.97836,72.562,308.1,0.52,0.67,2026-03-11,2139,N20,VIIRS,n,2,294.6,1.63,N,2,44,137989387,,,industrial,,,645.02,0,2,7,0.645
22.97905,72.56561,310.2,0.52,0.67,2026-03-11,2139,N20,VIIRS,n,2,296.17,1.81,N,2,226,730859587,,,industrial,,,325.27,1,3,7,0.325
22.95616,72.74741,338.35,0.46,0.39,2026-03-13,834,N20,VIIRS,l,2,311.2,1.65,D,0,215,668426252,,,industrial,,,3560.47,0,0,0,3.56
22.96043,72.59915,308.5,0.41,0.37,2026-03-14,2043,N20,VIIRS,n,2,294.28,1.08,N,0,25,6445035685,Reliance resin industries,,,works,,272.44,1,1,4,0.272
22.77944,72.45569,335.77,0.45,0.47,2026-03-15,756,N20,VIIRS,n,2,309.3,3.86,D,0,231,871656251,,,industrial,,,8189.75,0,0,0,8.19
22.7803,72.46003,342.04,0.45,0.47,2026-03-15,756,N20,VIIRS,n,2,308.31,4.72,D,0,231,871656251,,,industrial,,,8571.02,0,0,0,8.571
22.7951,72.43128,331.57,0.45,0.63,2026-03-16,737,N20,VIIRS,l,2,305.95,4.7,D,0,231,871656251,,,industrial,,,5256.66,0,0,0,5.257
22.97734,72.56386,305.8,0.65,0.73,2026-03-16,2146,N20,VIIRS,n,2,290.98,0.79,N,2,226,730859587,,,industrial,,,488.45,1,2,7,0.488
22.98167,72.5658,307.3,0.65,0.73,2026-03-16,2146,N20,VIIRS,n,2,291.41,1.23,N,2,226,730859587,,,industrial,,,496.47,1,3,9,0.496
22.78164,72.53414,367.0,0.35,0.57,2026-03-17,859,N20,VIIRS,h,2,312.65,5.1,D,0,224,674885115,,,industrial,,,4065.17,0,0,0,4.065
22.95061,72.41132,334.64,0.34,0.56,2026-03-17,859,N20,VIIRS,n,2,304.62,2.35,D,0,147,651103946,,,industrial,,,3909.09,0,0,0,3.909
23.24492,72.43323,340.61,0.35,0.57,2026-03-17,859,N20,VIIRS,n,2,309.36,2.48,D,0,448,13478804,,,,,generator,7487.08,0,0,0,7.487
