event_id,bright_ti4,bright_ti5,frp,delta_t,daynight,distance_to_industry,industries_within_500m,industries_within_1km,industries_within_2km,NDVI,NDBI,NDWI,cluster_event_count,cluster_unique_dates,cluster_span_days,final_label
FIRMS_0001,343.98,302.65,5.18,41.33,1,5783.87,0,0,0,0.2971230158730158,0.0405430196294257,-0.3763157894736842,2,1,0,Other Thermal Source
FIRMS_0002,344.78,302.11,4.83,42.67,1,5537.88,0,0,0,0.6282404853833425,-0.1596935769004125,-0.5718849840255591,2,1,0,Other Thermal Source
FIRMS_0005,309.14,298.47,1.77,10.67,0,1091.39,0,0,5,0.1682191780821917,0.149920255183413,-0.2984165651644336,4,3,54,Persistent Industrial Heat
FIRMS_0006,305.71,294.78,0.97,10.93,0,175.79,1,3,8,0.1905041031652989,0.0832769126607989,-0.312015503875969,25,21,81,Persistent Industrial Heat
FIRMS_0009,333.45,307.22,2.35,26.23,1,4575.02,0,0,0,0.6911018902720147,-0.3640758646336928,-0.5695335900727428,2,1,0,Other Thermal Source
FIRMS_0010,336.6,308.55,3.78,28.05,1,4860.42,0,0,0,0.5455278001611603,-0.1161978661493695,-0.5725608089641979,2,1,0,Other Thermal Source
FIRMS_0012,318.57,297.05,3.52,21.52,0,497.34,1,3,8,0.1246183735775742,0.1474857984430885,-0.2778303374329864,25,21,81,Persistent Industrial Heat
FIRMS_0013,315.64,296.68,3.2,18.96,0,239.19,2,3,8,0.2348268191928821,0.0622586872586872,-0.3340199107449365,25,21,81,Persistent Industrial Heat
FIRMS_0014,308.1,294.6,1.63,13.5,0,645.02,0,2,7,0.6661631419939577,-0.2627361190612478,-0.5723449750534568,25,21,81,Persistent Industrial Heat
FIRMS_0015,310.2,296.17,1.81,14.03,0,325.27,1,3,7,0.0853146853146853,0.1300448430493273,-0.2024793388429752,25,21,81,Persistent Industrial Heat
FIRMS_0021,305.8,290.98,0.79,14.82,0,488.45,1,2,7,0.1570680628272251,0.195144157814871,-0.2509433962264151,25,21,81,Persistent Industrial Heat
FIRMS_0022,307.3,291.41,1.23,15.89,0,496.47,1,3,9,0.1370192307692307,0.137648131267092,-0.2814087368777514,25,21,81,Persistent Industrial Heat
FIRMS_0024,334.64,304.62,2.35,30.02,1,3909.09,0,0,0,0.3772545090180361,0.1165032942310782,-0.4712336098474712,3,2,1,Other Thermal Source
FIRMS_0027,339.93,311.32,6.52,28.61,1,4306.93,0,0,0,0.2065160273252758,0.2873991309745499,-0.3442622950819672,3,2,1,Other Thermal Source
FIRMS_0028,339.78,311.35,6.91,28.43,1,4559.45,0,0,0,0.2260273972602739,0.2166301969365426,-0.3447412353923205,3,2,1,Other Thermal Source
FIRMS_0029,335.73,309.61,3.01,26.12,1,769.11,0,2,13,0.0759617262253466,0.0842612597640019,-0.1328125,1,1,0,Industrial Fire
FIRMS_0033,342.65,297.32,3.07,45.33,1,3921.34,0,0,0,0.5028248587570622,-0.1455641688199827,-0.535205848403232,2,1,0,Other Thermal Source
FIRMS_0034,340.43,296.42,2.5,44.01,1,4011.53,0,0,0,0.8736039226368837,-0.3923076923076923,-0.7883515340613625,2,1,0,Other Thermal Source
FIRMS_0044,342.66,307.47,7.84,35.19,1,795.57,0,3,3,0.1462140992167102,0.2167707404103479,-0.2949852507374631,3,2,22,Persistent Industrial Heat
FIRMS_0052,312.46,290.99,1.32,21.47,0,312.77,1,3,7,0.0734664764621968,0.1504374823595822,-0.1734892787524366,25,21,81,Persistent Industrial Heat
FIRMS_0063,305.97,294.65,1.5,11.32,0,516.34,0,4,9,0.1273854961832061,0.1427534917467803,-0.2680440032197478,25,21,81,Persistent Industrial Heat
FIRMS_0094,304.68,291.02,0.88,13.66,0,683.64,0,3,9,0.5050505050505051,-0.0551006859924762,-0.5017322834645669,25,21,81,Persistent Industrial Heat
FIRMS_0098,310.99,293.68,0.98,17.31,0,582.15,0,2,7,0.1602708803611738,0.1490066225165563,-0.3160204828090709,25,21,81,Persistent Industrial Heat
FIRMS_0100,337.69,310.07,4.41,27.62,1,5058.6,0,0,0,0.8027228358592345,-0.2734530938123752,-0.7255962626014261,2,1,0,Other Thermal Source
FIRMS_0101,337.68,306.25,4.41,31.43,1,5253.21,0,0,0,0.0221995406991579,-0.0531019978969505,-0.0633045786330457,2,1,0,Other Thermal Source
FIRMS_0110,350.82,324.0,13.4,26.82,1,1179.34,0,0,3,0.2433554817275747,0.1570945945945946,-0.3300755219902265,3,2,22,Persistent Industrial Heat
FIRMS_0111,347.22,320.52,17.01,26.7,1,1502.4,0,0,3,0.3676688023656974,0.020818630910374,-0.4411841080238899,3,2,22,Persistent Industrial Heat
FIRMS_0116,344.44,312.61,3.28,31.83,1,883.66,0,1,6,0.1714129244249726,0.1946536144578313,-0.2920567804288734,2,2,2,Industrial Fire
FIRMS_0119,305.85,295.17,1.14,10.68,0,397.67,1,3,7,0.0886524822695035,0.1057384212059423,-0.2048665620094191,25,21,81,Persistent Industrial Heat
FIRMS_0120,342.18,313.57,27.49,28.61,1,1110.4,0,0,5,0.4143322475570032,0.1284624648735447,-0.4673876309564042,2,2,2,Industrial Fire
FIRMS_0121,312.07,297.3,1.32,14.77,0,149.8,1,2,7,0.1230502599653379,0.1268527430221366,-0.2458115902224663,25,21,81,Persistent Industrial Heat
FIRMS_0125,340.06,312.98,3.5,27.08,1,4061.98,0,0,0,0.2332170880557977,0.0416666666666666,-0.310632383599722,2,1,0,Other Thermal Source
FIRMS_0126,343.38,312.95,3.64,30.43,1,4139.34,0,0,0,0.5329525483304042,-0.1273021001615508,-0.5434638354346384,2,1,0,Other Thermal Source
FIRMS_0131,309.33,297.01,1.59,12.32,0,525.2,0,2,7,0.1707317073170731,0.1532307692307692,-0.3001574803149606,25,21,81,Persistent Industrial Heat
FIRMS_0136,312.71,298.03,1.76,14.68,0,351.32,1,2,7,0.1594014313597918,0.1500119246362986,-0.2765042979942693,25,21,81,Persistent Industrial Heat
FIRMS_0137,318.14,297.65,1.76,20.49,0,361.96,1,3,8,0.157010428736964,0.1773429454170957,-0.3014011078527207,25,21,81,Persistent Industrial Heat
FIRMS_0139,347.21,321.77,21.37,25.44,1,1059.3,0,0,5,0.0929811866859623,0.0762880293533098,-0.2127659574468085,4,3,54,Persistent Industrial Heat
FIRMS_0140,313.33,299.05,2.05,14.28,0,494.09,1,1,2,0.5768339768339769,-0.1248622842453176,-0.5615600305888351,2,2,26,Persistent Industrial Heat
FIRMS_0142,345.27,316.52,11.94,28.75,1,1043.21,0,0,5,0.1389424106187112,0.114513981358189,-0.2517647058823529,4,3,54,Persistent Industrial Heat
FIRMS_0143,341.37,315.54,12.1,25.83,1,1247.26,0,0,4,0.1371601208459214,0.2283722837228372,-0.2559225892559226,4,3,54,Persistent Industrial Heat
FIRMS_0145,306.99,295.07,2.39,11.92,0,442.54,1,3,9,0.1396309556595979,0.1807562858839833,-0.2635114503816794,25,21,81,Persistent Industrial Heat
FIRMS_0146,348.11,312.04,9.26,36.07,1,622.45,0,1,6,0.0531590413943355,0.0718125960061444,-0.1320843091334894,2,1,0,Industrial Fire
FIRMS_0147,343.64,311.06,5.51,32.58,1,802.52,0,1,7,0.0319148936170212,0.0438303115648653,-0.0938380990737011,2,1,0,Industrial Fire
FIRMS_0150,311.47,295.65,1.57,15.82,0,447.25,1,3,7,0.1367682762341516,0.1473087818696883,-0.2715751357875678,25,21,81,Persistent Industrial Heat
FIRMS_0152,345.41,312.14,7.03,33.27,1,670.05,0,9,25,0.231791221826809,0.0063157894736842,-0.2899378881987577,2,2,10,Gas Flare
FIRMS_0156,341.48,313.0,2.34,28.48,1,846.06,0,1,2,0.1726773346071172,0.2011064106736088,-0.2938076416337286,1,1,0,Industrial Fire
FIRMS_0157,309.65,297.31,0.54,12.34,0,226.56,1,2,7,0.0472440944881889,0.10828025477707,-0.1280746395250212,25,21,81,Persistent Industrial Heat
FIRMS_0160,312.38,300.23,0.62,12.15,0,176.84,1,3,8,0.1505728314238952,0.2052006783493499,-0.2689530685920577,25,21,81,Persistent Industrial Heat
FIRMS_0164,308.48,295.55,0.78,12.93,0,370.66,1,2,7,0.1639471639471639,0.1246591351772497,-0.2876790830945558,25,21,81,Persistent Industrial Heat
FIRMS_0170,319.84,298.52,1.51,21.32,0,426.59,1,4,24,0.1795952782462057,0.1353522867737948,-0.2986771872824321,2,2,10,Gas Flare
FIRMS_0178,306.34,295.51,2.5,10.83,0,484.5,1,4,8,0.1195219123505976,0.1244590617967803,-0.2366748166259168,25,21,81,Persistent Industrial Heat
FIRMS_0183,312.2,298.79,0.76,13.41,0,512.36,0,1,2,0.1383116883116883,0.0524324324324324,-0.1921115266916015,2,2,26,Persistent Industrial Heat
FIRMS_0187,337.81,308.23,4.08,29.58,1,6915.93,0,0,0,0.1996047430830039,0.1738124404518851,-0.3515920730349588,3,2,1,Other Thermal Source
FIRMS_0188,344.88,308.26,5.45,36.62,1,6890.51,0,0,0,0.3300995659943834,0.0243445692883895,-0.4005376344086021,3,2,1,Other Thermal Source
FIRMS_0190,315.95,297.46,0.98,18.49,0,441.64,1,4,7,0.1176321780925879,0.1565483008781978,-0.2413599325653273,25,21,81,Persistent Industrial Heat
FIRMS_0191,342.75,316.25,0.99,26.5,1,6854.71,0,0,0,0.3337631635503976,-0.0372722714357345,-0.4345815996301433,3,2,1,Other Thermal Source
FIRMS_0193,319.96,299.42,1.2,20.54,0,236.15,1,3,7,0.0448791714614499,0.1042420256494574,-0.1136549468520032,25,21,81,Persistent Industrial Heat
FIRMS_0197,315.96,300.19,0.54,15.77,0,146.93,1,2,7,0.0769927536231884,0.1380935121420804,-0.159434422233057,25,21,81,Persistent Industrial Heat
