grid_lat,grid_lon,first_detection,last_detection,total_detections,detection_days,average_frp,maximum_frp,latitude,longitude,observation_period_days,detection_frequency,persistence
22.97,72.56,2026-03-07,2026-05-27,17,16,1.1494117647058824,1.81,22.978238235294118,72.56542352941176,82,0.1951219512195122,Persistent
22.98,72.56,2026-03-10,2026-05-20,8,7,2.1225,3.52,22.9819125,72.56540125000001,72,0.09722222222222222,Persistent
22.96,72.54,2026-04-09,2026-04-27,3,3,11.353333333333333,21.37,22.96244,72.54572666666667,19,0.15789473684210525,Persistent
23.02,72.26,2026-04-29,2026-05-17,3,3,6.8133333333333335,11.9,23.02686,72.26455,19,0.15789473684210525,Persistent
22.78,72.34,2026-04-18,2026-04-20,2,2,15.385,27.49,22.78123,72.346495,3,0.6666666666666666,Non-Persistent
22.81,72.38,2026-03-23,2026-04-14,2,2,10.620000000000001,13.4,22.81701,72.38545500000001,23,0.08695652173913043,Non-Persistent
22.95,72.54,2026-03-04,2026-04-27,2,2,6.8549999999999995,11.94,22.95927,72.5476,55,0.03636363636363636,Non-Persistent
23.09,72.35,2026-04-17,2026-05-30,5,2,5.601999999999999,10.38,23.095385999999998,72.35672600000001,44,0.045454545454545456,Non-Persistent
22.95,72.4,2026-03-18,2026-03-28,2,2,5.445,6.91,22.954155,72.40496999999999,11,0.18181818181818182,Non-Persistent
22.81,72.42,2026-03-23,2026-03-26,2,2,4.6850000000000005,6.63,22.817715,72.42407,4,0.5,Non-Persistent
22.95,72.41,2026-03-17,2026-03-18,2,2,4.435,6.52,22.952620000000003,72.41155,2,1.0,Non-Persistent
22.91,72.26,2026-03-01,2026-04-07,2,2,5.595,6.01,22.914135,72.262925,38,0.05263157894736842,Non-Persistent
22.97,72.55,2026-04-23,2026-05-28,2,2,3.075,5.44,22.97204,72.556405,36,0.05555555555555555,Non-Persistent
22.94,72.34,2026-05-25,2026-05-26,2,2,2.535,4.08,22.94803,72.347825,2,1.0,Non-Persistent
23.01,72.33,2026-04-26,2026-05-22,2,2,1.4049999999999998,2.05,23.014294999999997,72.33606,27,0.07407407407407407,Non-Persistent
23.04,72.33,2026-03-28,2026-03-28,3,1,15.623333333333335,21.75,23.043403333333334,72.33626333333333,1,1.0,Non-Persistent
22.81,72.39,2026-04-14,2026-04-14,1,1,17.01,17.01,22.81947,72.39011,1,1.0,Non-Persistent
22.88,72.34,2026-05-10,2026-05-10,1,1,13.99,13.99,22.88142,72.34779,1,1.0,Non-Persistent
22.83,72.56,2026-04-25,2026-04-25,1,1,13.7,13.7,22.83576,72.56556,1,1.0,Non-Persistent
22.77,72.39,2026-05-19,2026-05-19,1,1,13.22,13.22,22.77143,72.3934,1,1.0,Non-Persistent
22.95,72.57,2026-04-21,2026-04-21,1,1,12.87,12.87,22.95614,72.57651,1,1.0,Non-Persistent
23.14,72.59,2026-04-13,2026-04-13,1,1,12.75,12.75,23.14765,72.59921,1,1.0,Non-Persistent
23.21,72.28,2026-04-05,2026-04-05,1,1,12.36,12.36,23.21997,72.28629,1,1.0,Non-Persistent
22.83,72.65,2026-05-21,2026-05-21,1,1,11.67,11.67,22.83762,72.65168,1,1.0,Non-Persistent
22.9,72.42,2026-05-19,2026-05-19,2,1,10.09,11.29,22.90719,72.42886999999999,1,1.0,Non-Persistent
23.12,72.55,2026-03-04,2026-03-04,1,1,10.64,10.64,23.12461,72.55163,1,1.0,Non-Persistent
23.15,72.59,2026-04-13,2026-04-13,1,1,10.48,10.48,23.1508,72.59597,1,1.0,Non-Persistent
23.03,72.34,2026-04-10,2026-04-10,1,1,10.27,10.27,23.03078,72.3464,1,1.0,Non-Persistent
22.86,72.53,2026-05-05,2026-05-05,1,1,10.24,10.24,22.86737,72.53522,1,1.0,Non-Persistent
23.01,72.67,2026-04-29,2026-04-29,2,1,7.385,9.26,23.01868,72.673395,1,1.0,Non-Persistent
22.99,72.47,2026-05-16,2026-05-16,1,1,9.16,9.16,22.99721,72.47493,1,1.0,Non-Persistent
22.88,72.62,2026-05-27,2026-05-27,1,1,8.97,8.97,22.88746,72.6228,1,1.0,Non-Persistent
