event_id,cluster_id,candidate_class,thermal_evidence,temporal_evidence,industrial_spatial_evidence,satellite_evidence,final_recommendation,confidence,review_status
FIRMS_0001,0,Other Thermal Source,"TI4=344.0K, TI5=302.6K, DeltaT=41.3K, FRP=5.18MW (Day)",Cluster 0: 1 date(s) over 0d span (Acq: 2026-03-01),"Dist=5784m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.297, NDBI=0.041, NDWI=-0.376",Other Thermal Source,High,Needs Human Validation
FIRMS_0002,0,Other Thermal Source,"TI4=344.8K, TI5=302.1K, DeltaT=42.7K, FRP=4.83MW (Day)",Cluster 0: 1 date(s) over 0d span (Acq: 2026-03-01),"Dist=5538m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.628, NDBI=-0.160, NDWI=-0.572",Other Thermal Source,High,Needs Human Validation
FIRMS_0009,7,Other Thermal Source,"TI4=333.4K, TI5=307.2K, DeltaT=26.2K, FRP=2.35MW (Day)",Cluster 7: 1 date(s) over 0d span (Acq: 2026-03-09),"Dist=4575m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.691, NDBI=-0.364, NDWI=-0.570",Other Thermal Source,High,Needs Human Validation
FIRMS_0010,7,Other Thermal Source,"TI4=336.6K, TI5=308.6K, DeltaT=28.1K, FRP=3.78MW (Day)",Cluster 7: 1 date(s) over 0d span (Acq: 2026-03-09),"Dist=4860m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.546, NDBI=-0.116, NDWI=-0.573",Other Thermal Source,High,Needs Human Validation
FIRMS_0024,14,Other Thermal Source,"TI4=334.6K, TI5=304.6K, DeltaT=30.0K, FRP=2.35MW (Day)",Cluster 14: 2 date(s) over 1d span (Acq: 2026-03-17),"Dist=3909m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.377, NDBI=0.117, NDWI=-0.471",Other Thermal Source,High,Needs Human Validation
FIRMS_0027,14,Other Thermal Source,"TI4=339.9K, TI5=311.3K, DeltaT=28.6K, FRP=6.52MW (Day)",Cluster 14: 2 date(s) over 1d span (Acq: 2026-03-18),"Dist=4307m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.207, NDBI=0.287, NDWI=-0.344",Other Thermal Source,High,Needs Human Validation
FIRMS_0028,14,Other Thermal Source,"TI4=339.8K, TI5=311.4K, DeltaT=28.4K, FRP=6.91MW (Day)",Cluster 14: 2 date(s) over 1d span (Acq: 2026-03-18),"Dist=4559m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.226, NDBI=0.217, NDWI=-0.345",Other Thermal Source,High,Needs Human Validation
FIRMS_0029,17,Industrial Fire,"TI4=335.7K, TI5=309.6K, DeltaT=26.1K, FRP=3.01MW (Day)",Cluster 17: 1 date(s) over 0d span (Acq: 2026-03-18),"Dist=769m (no mapped OSM facility), Count: 500m=0, 1km=2, 2km=13","Sentinel-2: NDVI=0.076, NDBI=0.084, NDWI=-0.133",Industrial Fire,Medium,Needs Human Validation
FIRMS_0033,21,Other Thermal Source,"TI4=342.6K, TI5=297.3K, DeltaT=45.3K, FRP=3.07MW (Day)",Cluster 21: 1 date(s) over 0d span (Acq: 2026-03-21),"Dist=3921m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.503, NDBI=-0.146, NDWI=-0.535",Other Thermal Source,High,Needs Human Validation
FIRMS_0034,21,Other Thermal Source,"TI4=340.4K, TI5=296.4K, DeltaT=44.0K, FRP=2.50MW (Day)",Cluster 21: 1 date(s) over 0d span (Acq: 2026-03-21),"Dist=4012m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.874, NDBI=-0.392, NDWI=-0.788",Other Thermal Source,High,Needs Human Validation
FIRMS_0044,28,Persistent Industrial Heat,"TI4=342.7K, TI5=307.5K, DeltaT=35.2K, FRP=7.84MW (Day)",Cluster 28: 2 date(s) over 22d span (Acq: 2026-03-23),"Dist=796m (no mapped OSM facility), Count: 500m=0, 1km=3, 2km=3","Sentinel-2: NDVI=0.146, NDBI=0.217, NDWI=-0.295",Persistent Industrial Heat,High,Needs Human Validation
FIRMS_0083,56,Ambiguous (Review Required),"TI4=330.9K, TI5=304.5K, DeltaT=26.4K, FRP=1.22MW (Day)",Cluster 56: 1 date(s) over 0d span (Acq: 2026-04-01),"Dist=2318m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.222, NDBI=0.158, NDWI=-0.341",Ambiguous,Low,Needs Human Validation
FIRMS_0100,70,Other Thermal Source,"TI4=337.7K, TI5=310.1K, DeltaT=27.6K, FRP=4.41MW (Day)",Cluster 70: 1 date(s) over 0d span (Acq: 2026-04-09),"Dist=5059m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.803, NDBI=-0.273, NDWI=-0.726",Other Thermal Source,High,Needs Human Validation
FIRMS_0101,70,Other Thermal Source,"TI4=337.7K, TI5=306.2K, DeltaT=31.4K, FRP=4.41MW (Day)",Cluster 70: 1 date(s) over 0d span (Acq: 2026-04-09),"Dist=5253m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=0","Sentinel-2: NDVI=0.022, NDBI=-0.053, NDWI=-0.063",Other Thermal Source,High,Needs Human Validation
FIRMS_0105,74,Gas Flare / Persistent Heat (Conflict),"TI4=308.6K, TI5=295.2K, DeltaT=13.4K, FRP=1.49MW (Night)",Cluster 74: 2 date(s) over 39d span (Acq: 2026-04-10),"Dist=605m (near esdee paints near), Count: 500m=0, 1km=5, 2km=9","Sentinel-2: NDVI=0.025, NDBI=0.176, NDWI=-0.080",Unknown,Medium,Flagged for Senior Review
FIRMS_0110,28,Persistent Industrial Heat,"TI4=350.8K, TI5=324.0K, DeltaT=26.8K, FRP=13.40MW (Day)",Cluster 28: 2 date(s) over 22d span (Acq: 2026-04-14),"Dist=1179m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=3","Sentinel-2: NDVI=0.243, NDBI=0.157, NDWI=-0.330",Persistent Industrial Heat,High,Needs Human Validation
FIRMS_0111,28,Persistent Industrial Heat,"TI4=347.2K, TI5=320.5K, DeltaT=26.7K, FRP=17.01MW (Day)",Cluster 28: 2 date(s) over 22d span (Acq: 2026-04-14),"Dist=1502m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=3","Sentinel-2: NDVI=0.368, NDBI=0.021, NDWI=-0.441",Persistent Industrial Heat,High,Needs Human Validation
FIRMS_0116,81,Industrial Fire,"TI4=344.4K, TI5=312.6K, DeltaT=31.8K, FRP=3.28MW (Day)",Cluster 81: 2 date(s) over 2d span (Acq: 2026-04-18),"Dist=884m (no mapped OSM facility), Count: 500m=0, 1km=1, 2km=6","Sentinel-2: NDVI=0.171, NDBI=0.195, NDWI=-0.292",Industrial Fire,High,Needs Human Validation
FIRMS_0120,81,Industrial Fire,"TI4=342.2K, TI5=313.6K, DeltaT=28.6K, FRP=27.49MW (Day)",Cluster 81: 2 date(s) over 2d span (Acq: 2026-04-20),"Dist=1110m (no mapped OSM facility), Count: 500m=0, 1km=0, 2km=5","Sentinel-2: NDVI=0.414, NDBI=0.128, NDWI=-0.467",Industrial Fire,High,Needs Human Validation
