event_id,cluster_id,acq_date,acq_time,satellite,instrument,latitude,longitude,daynight,bright_ti4,bright_ti5,delta_ti4_ti5,frp,confidence,scan,track,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,NDVI,NDBI,NDWI,cluster_event_count,cluster_unique_dates,cluster_span_days,persistence_summary,nearest_industry_name,nearest_man_made,nearest_power,osm_context_summary,candidate_class,candidate_evidence_summary,evidence_confidence,validation_action_required,annotator_id,annotator_notes,final_label,label_status
FIRMS_0001,0,2026-03-01,08:59,N20,VIIRS,22.91167,72.26035,1,343.98,302.65,41.33,5.18,n,0.34,0.56,5783.87,0,0,0,0.2971230158730158,0.0405430196294257,-0.3763157894736842,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (5784m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.30, NDBI 0.04), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 0: Remote rural clearing 5.8km from industry, NDVI (0.297), single-day daytime rural burn.",Other Thermal Source,Validated
FIRMS_0002,0,2026-03-01,08:59,N20,VIIRS,22.91384,72.25944,1,344.78,302.11,42.67,4.83,n,0.34,0.56,5537.88,0,0,0,0.6282404853833425,-0.1596935769004125,-0.5718849840255591,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (5538m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.63, NDBI -0.16), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 0: Remote rural clearing 5.5km from industry, high NDVI (0.628), negative NDBI (-0.160), single-day daytime rural burn.",Other Thermal Source,Validated
FIRMS_0003,1,2026-03-03,08:21,N20,VIIRS,22.85421,72.43613,1,339.01,307.47,31.54,2.23,n,0.38,0.36,3044.03,0,0,0,0.3535741737125288,0.0675138999205718,-0.4583850931677019,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (3044m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.35, NDBI 0.07), single/episodic burn.",Medium,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0004,2,2026-03-04,08:02,N20,VIIRS,23.12461,72.55163,1,345.69,315.97,29.72,10.64,n,0.54,0.42,2390.24,0,0,0,0.3190229459659511,0.1849988566201692,-0.4452554744525547,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (2390m) or mixed spectral signals (NDVI 0.32, NDBI 0.18, FRP 10.64MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0005,3,2026-03-04,20:30,N20,VIIRS,22.95972,72.54742,0,309.14,298.47,10.67,1.77,n,0.57,0.43,1091.39,0,0,5,0.1682191780821917,0.149920255183413,-0.2984165651644336,4,3,54,"Moderate Persistence (4 detections across 3 dates, 54d span)",Piplaj,,,Name: Piplaj; Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (3 dates over 54d span in cluster), inside/adjacent to industrial zone (dist 1091m, NDBI 0.15).",Medium,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Verified nocturnal operational baseline at Piplaj / Chiripal Industries complex; 54d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0006,4,2026-03-07,21:14,N20,VIIRS,22.97956,72.56829,0,305.71,294.78,10.93,0.97,n,0.42,0.45,175.79,1,3,8,0.1905041031652989,0.0832769126607989,-0.312015503875969,25,21,81,"High Persistence (19 detections across 18 dates, 81d span)",,,,Landuse: industrial,Persistent Industrial Heat,"Multi-date recurrence (21 dates over 81d span in cluster), inside/adjacent to industrial zone (dist 176m, NDBI 0.08).",High,Confirm industrial facility boundary and continuous operations via satellite basemap.,SAMPAD_R,Confirmed chronic nocturnal heat source in industrial estate; 81d recurrence.,Persistent Industrial Heat,Validated
FIRMS_0007,5,2026-03-07,21:14,N20,VIIRS,23.02011,72.61412,0,315.38,296.19,19.19,1.66,n,0.42,0.45,546.81,0,5,14,0.1087363077745124,0.0806380150642445,-0.1644219977553311,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Ambiguous (Review Required),"Intermediate proximity (547m) or mixed spectral signals (NDVI 0.11, NDBI 0.08, FRP 1.66MW).",Ambiguous,Perform comprehensive multi-temporal optical imagery inspection (Sentinel-2 / Google Earth) to determine site activity.,,,Unknown,Needs Human Validation
FIRMS_0008,6,2026-03-08,08:27,N20,VIIRS,22.86525,72.4506,1,340.32,311.07,29.25,5.14,l,0.4,0.37,4200.8,0,0,0,0.4409409409409409,-0.0611868779948396,-0.5041797283176593,1,1,0,Transient / Single Occurrence (1 detection),,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4201m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.44, NDBI -0.06), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,,,Unknown,Needs Human Validation
FIRMS_0009,7,2026-03-09,08:08,N20,VIIRS,22.91476,72.33144,1,333.45,307.22,26.23,2.35,n,0.46,0.39,4575.02,0,0,0,0.6911018902720147,-0.3640758646336928,-0.5695335900727428,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4575m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.69, NDBI -0.36), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 7: Remote agricultural cropland 4.6km from industry, high NDVI (0.691), negative NDBI (-0.364), single-day daytime crop residue burn.",Other Thermal Source,Validated
FIRMS_0010,7,2026-03-09,08:09,N20,VIIRS,22.91593,72.32841,1,336.6,308.55,28.05,3.78,n,0.46,0.39,4860.42,0,0,0,0.5455278001611603,-0.1161978661493695,-0.5725608089641979,2,1,0,"Moderate Persistence (2 detections across 1 dates, 0d span)",,,,Landuse: industrial,Other Thermal Source,"Remote from industrial infrastructure (4860m, 0 industries in 1km), rural/agricultural spectral profile (NDVI 0.55, NDBI -0.12), single/episodic burn.",High,Verify agricultural plot boundary or open field context on satellite imagery.,SAMPAD_R,"Cluster 7: Remote agricultural cropland 4.9km from industry, high NDVI (0.546), negative NDBI (-0.116), single-day daytime crop residue burn.",Other Thermal Source,Validated
