feature,gas_flare_mean,gas_flare_min,gas_flare_max,industrial_fire_mean,industrial_fire_min,industrial_fire_max,ranges_overlap
bright_ti4,332.625,319.84,345.41,342.597,335.73,348.11,True
bright_ti5,305.33,298.52,312.14,311.982,309.61,313.57,True
frp,4.27,1.51,7.03,8.482,2.34,27.49,True
delta_t,27.295,21.32,33.27,30.615,26.12,36.07,True
daynight,0.5,0.0,1.0,1.0,1.0,1.0,True
distance_to_industry,548.32,426.59,670.05,839.033,622.45,1110.4,True
industries_within_500m,0.5,0.0,1.0,0.0,0.0,0.0,True
industries_within_1km,6.5,4.0,9.0,1.0,0.0,2.0,False
industries_within_2km,24.5,24.0,25.0,6.5,2.0,13.0,False
cluster_event_count,2.0,2.0,2.0,1.667,1.0,2.0,True
cluster_unique_dates,2.0,2.0,2.0,1.333,1.0,2.0,True
cluster_span_days,10.0,10.0,10.0,0.667,0.0,2.0,False
NDVI,0.206,0.18,0.232,0.153,0.032,0.414,True
NDBI,0.071,0.006,0.135,0.121,0.044,0.201,True
NDWI,-0.294,-0.299,-0.29,-0.235,-0.467,-0.094,True
