event_id,predicted_class,confidence,thermal_score,persistence_score,industrial_proximity_score,recurrence_score,ml_confidence_score,final_risk_score,risk_level,top_risk_factors
FIRMS_0001,Other Thermal Source,0.965,50.43,0.0,9.62,17.92,24.13,22.84,LOW,Elevated Radiative Power (5.2 MW); Intense Sub-pixel Combustion Contrast (ΔT = 41.3K)
FIRMS_0002,Other Thermal Source,0.965,51.01,0.0,1.61,17.92,24.13,20.98,LOW,Intense Sub-pixel Combustion Contrast (ΔT = 42.7K)
FIRMS_0003,Other Thermal Source,0.6431,39.28,0.0,30.26,15.0,16.08,22.9,LOW,Intense Sub-pixel Combustion Contrast (ΔT = 31.5K)
FIRMS_0004,Industrial Fire,0.4525,52.7,0.0,41.5,15.0,45.25,36.36,MODERATE,Acute Industrial Fire Hazard (45.2% ML conf); Elevated Radiative Power (10.6 MW)
FIRMS_0005,Persistent Industrial Heat,0.9709,14.29,44.71,57.08,38.75,63.11,44.2,MODERATE,Chronic Operational Heat Source (54d persistence); Close Industrial Proximity (1091m)
FIRMS_0006,Persistent Industrial Heat,0.9664,11.76,100.0,68.97,100.0,62.82,60.89,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (176m)
FIRMS_0007,Gas Flare,0.3886,21.32,0.0,71.96,30.0,33.03,34.58,MODERATE,High-Temp Flare Combustion Stack (38.9% ML conf); Close Industrial Proximity (547m)
FIRMS_0008,Other Thermal Source,0.9412,42.63,0.0,13.54,15.0,23.53,21.43,LOW,Elevated Radiative Power (5.1 MW)
FIRMS_0009,Other Thermal Source,0.971,34.19,0.0,4.25,17.92,24.28,17.47,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0010,Other Thermal Source,0.9697,38.48,0.0,4.75,17.92,24.24,18.66,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0011,Other Thermal Source,0.9688,25.67,0.0,10.24,30.0,24.22,18.03,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0012,Persistent Industrial Heat,0.9703,26.45,100.0,68.33,100.0,63.07,64.46,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (497m)
FIRMS_0013,Persistent Industrial Heat,0.9659,23.38,100.0,67.5,100.0,62.79,63.42,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (239m)
FIRMS_0014,Persistent Industrial Heat,0.967,15.04,100.0,51.15,100.0,62.85,57.26,HIGH,Chronic Operational Heat Source (81d persistence); Close Industrial Proximity (645m)
FIRMS_0015,Persistent Industrial Heat,0.9703,16.52,100.0,68.55,100.0,63.07,62.03,HIGH,Chronic Operational Heat Source (81d persistence); Immediate Industrial Co-location (325m)
FIRMS_0016,Other Thermal Source,0.5305,36.01,0.0,26.53,15.0,13.26,20.45,LOW,Nominal Rural / Non-Industrial Baseline
FIRMS_0017,Industrial Fire,0.439,14.85,0.0,59.01,30.0,43.9,32.44,MODERATE,Acute Industrial Fire Hazard (43.9% ML conf); Immediate Industrial Co-location (272m)
FIRMS_0018,Other Thermal Source,0.9673,37.41,0.0,13.81,17.92,24.18,20.64,LOW,Nominal Rural / Non-Industrial Baseline
