feature,global_mean_abs_shap,mean_abs_shap_gas_flare,mean_abs_shap_industrial_fire,mean_abs_shap_other_thermal_source,mean_abs_shap_persistent_industrial_heat
industries_within_2km,0.53797275,1.7057563,0.086026534,0.340508,0.01960016
distance_to_industry,0.51102275,0.039085027,0.36944366,1.5978689,0.037693333
cluster_span_days,0.4897049,0.0,0.3300218,0.04936029,1.5794375
bright_ti5,0.29055816,0.0,1.1622326,0.0,0.0
cluster_event_count,0.20601764,0.0,0.13552034,0.0,0.68855023
industries_within_1km,0.0855716,0.29932684,0.012842548,0.03011702,0.0
delta_t,0.045706384,0.0,0.12798299,0.0,0.054842554
bright_ti4,0.031292565,0.0,0.12517026,0.0,0.0
NDWI,0.02235954,0.0,0.06153277,0.014397416,0.013507979
NDVI,0.020409914,0.0,0.04983922,0.0064693866,0.025331048
cluster_unique_dates,0.012961715,0.0,0.0,0.0,0.05184686
NDBI,0.011504123,0.0,0.023588896,0.022427594,0.0
frp,0.008695604,0.0,0.0053880764,0.0,0.029394342
industries_within_500m,0.0,0.0,0.0,0.0,0.0
daynight,0.0,0.0,0.0,0.0,0.0
